ID,Activity,Time stamp,Feed back,Work Time
1,開始,08-01 07:38:25,,
1,終了,08-01 07:49:27,Python,0時間11分
3,開始,08-03 15:18:46,,
3,終了,08-03 16:14:40,Python,0時間55分
5,開始,08-03 18:10:23,,
5,終了,08-03 19:00:05,"ITパスポート,AWS",0時間40分
7,開始,08-05 07:23:17,,
7,終了,08-05 07:44:07,Python,0時間20分
9,開始,08-06 08:33:28,,
9,終了,08-06 08:45:30,Python,0時間12分
11,開始,08-07 07:36:17,,
11,終了,08-07 07:48:54,Python,0時間12分
13,開始,08-07 22:51:51,,
13,終了,08-07 22:54:29,ITパスポート,0時間2分
15,開始,08-08 07:33:40,,
15,終了,08-08 07:45:29,Python,0時間11分
17,開始,08-09 08:50:21,,
17,終了,08-09 09:06:53,Python,0時間16分
19,開始,08-12 00:15:07,,
19,終了,08-12 01:05:17,"Python,AWS,ITパスポート",0時間50分
21,開始,08-12 16:38:28,,
21,終了,08-12 17:36:37,Python,0時間58分
23,開始,08-12 18:09:26,,
23,終了,08-12 18:38:11,ITパスポート,0時間28分
25,開始,08-12 19:47:26,,
25,終了,08-12 20:21:09,AWS,0時間33分
27,開始,08-13 12:30:58,,
27,終了,08-13 12:50:08,Python,0時間20分
29,開始,08-15 07:48:17,,
29,終了,08-15 07:52:32,Python,0時間4分
31,開始,08-16 08:54:59,,
31,終了,08-16 09:14:23,Python,0時間19分
33,開始,08-17 21:24:45,,
33,終了,08-17 22:02:40,Python,0時間37分
35,開始,08-18 21:38:18,,
35,終了,08-18 22:07:20,Python,0時間29分
37,開始,08-19 06:49:01,,
