ID,Activity,Time stamp,Feed back,Work Time
1,開始,07-02 07:24:59,,
1,終了,07-02 07:51:12,Python,0時間26分
3,開始,07-03 07:26:29,,
3,終了,07-03 07:35:50,Python,0時間9分
5,開始,07-04 07:37:24,,
5,終了,07-04 07:48:28,"Python,まとめ",0時間11分
7,開始,07-07 23:16:10,,
7,終了,07-07 23:30:15,ITパスポート,0時間14分
9,開始,07-08 07:35:18,,
9,終了,07-08 07:49:24,Python,0時間14分
11,開始,07-09 08:34:19,,
11,終了,07-09 08:53:35,"SQL,Python",0時間19分
13,開始,07-10 07:09:34,,
13,終了,07-10 07:46:55,"Python,ITパスポート,まとめ",0時間37分
15,開始,07-14 07:40:04,,
15,終了,07-14 07:47:09,Python,0時間7分
17,開始,07-15 22:27:25,,
17,終了,07-15 23:18:29,ITパスポート,0時間51分
19,開始,07-16 08:37:18,,
19,終了,07-16 08:47:56,Python,0時間10分
21,開始,07-16 12:53:12,,
21,終了,07-16 12:59:59,ITパスポート,0時間6分
23,開始,07-16 22:51:57,,
23,終了,07-16 23:31:22,ITパスポート,0時間39分
25,開始,07-17 22:52:18,,
25,終了,07-17 23:32:18,ITパスポート,0時間40分
27,開始,07-18 07:12:52,,
27,終了,07-18 07:50:29,Python,0時間37分
29,開始,07-19 08:36:26,,
29,終了,07-19 09:15:05,"Python,ITパスポート",0時間38分
31,開始,07-20 08:30:39,,
31,終了,07-20 09:12:06,"Python,ITパスポート",0時間41分
33,開始,07-21 15:23:26,,
33,終了,07-21 15:59:45,ITパスポート,0時間36分
35,開始,07-21 16:18:19,,
35,終了,07-21 16:56:28,Python,0時間38分
37,開始,07-21 19:07:47,,
38,終了,07-21 19:47:00,ITパスポート,0時間30分
39,開始,07-21 20:43:58,,
39,終了,07-21 21:34:33,Python,0時間50分
41,開始,07-22 07:30:11,,
